24,VIC,VICTORIA
105,AN4,AVELLANEDA NAVE 4
21,SMA,SAN MARTÍN
12,MON,MONSERRAT
37,MDZ,MENDOZA
195,PTM,PUERTO MADRYN
179,RAC,ROSARIO (Av. Eva Perón)
103,CIT,CABA BEN
44,ROS,ROSARIO
110,CDT,CONCEPCIÓN
206,EDO,ELDORADO
228,GYA,GOYA
245,COR,CORDOBA
14,VPU,VILLA PUEYRREDON
999,GEN,Sucursal Genérica
199,SVS,VILLA SOLDATI (CTC)
10,PAL,PALERMO
39,LUQ,SAN LUIS
46,VTO,VENADO TUERTO
66,ORA,ORÁN
143,GPAZ,CÓRDOBA (Av. General Paz)
224,ARV,ARCHIVO BTB
45,SLO,SAN LORENZO
13,TEM,TEMPERLEY
63,CTC,CATAMARCA
26,CRD,COMODORO RIVADAVIA
147,TRESA,TRES ARROYOS
232,NCA,NECOCHEA
159,CSR,CASEROS
241,RFF,RAFAELA H YRIGOYEN
96,TIG,TIGRE
75,PER,PERGAMINO
49,FMA,FORMOSA
120,LUJ,LUJÁN
246,PLM,PLANTA MALVINAS
43,CAS,CASILDA
190,ZAP,ZAPALA
90,AN3,AVELLANEDA NAVE 3
201,BBR,BAHIA BLANCA(RN 3 y SESQUICENT.)
42,CGO,CAÑADA DE GÓMEZ
205,ETO,ESTACIÓN ONCE
178,PERSONAL,PORTABILIDAD PERSONAL
106,SIS,SAN ISIDRO
155,PRS,ROQUE SÁENZ PEÑA
139,TEL,BNZ  NAVE 3 
94,DIG,Digitalizacion
87,CLR,CERRO LAS ROSAS
47,COC,CONCORDIA
306,RPD,RENDICIONES PRE DECOMISO
192,PLZ,PLAZA 70
153,PSA,POSADAS
3,BAR,BARRACAS
16,MAT,MATADEROS
57,RCU,RÍO CUARTO
70,TUC,TUCUMÁN
62,VMA,VILLA MARÍA
36,NDL,TANDIL
305,-1,Numeracion
32,USH,USHUAIA
17,MRN,MORENO
29,RGL,RÍO GALLEGOS
11,QUI,QUILMES
223,FLR,PLANTA FLORIDA
41,VME,VILLA MERCEDES
20,SJU,SAN JUSTO
0,DESC,Descentralizada
243,BRA,BERAZATEGUI
200,SVD,SUCURSAL VALIDACIONES
73,JUN,JUNÍN
124,OLA,OLAVARRÍA
132,TRAPSD,TRAFICO PSD
71,NDJ,9 DE JULIO
72,GPO,GENERAL PICO
4,VUR,VILLA URQUIZA
134,BEL,BELGRANO
92,AN5,AVELLANEDA NAVE 5
121,PIN,PINAMAR
55,SFN,SANTA FE
33,BHI,BAHÍA BLANCA
131,TRIPDV,PORTABILIDAD MOVISTAR
104,GCO,GESTION COBRANZAS
53,RAF,RAFAELA
180,SAT,SALTA (Av. Tavella)
135,CLARO,PORTABILIDAD CLARO
193,AVA,AVELLANEDA
25,BRC,BARILOCHE
15,FLO,FLORES
158,CAU,CÓRDOBA (Au.9 Córdoba-Rosario)
93,SPH,In House IATEC
187,LPZ,LA PAZ
204,IHN,IN HOUSE NORLOG CLARO
64,JUJ,JUJUY
28,NQ2,NEUQUÉN (Barrio Islas Malvinas)
23,VLO,VICENTE LÓPEZ
18,MRO,MORÓN
244,PVC,PROVEEDOR CORDOBA
137,MICRO,TUCUMAN 860
126,ESC,ESCOBAR
177,LPC,LA PLATA (Calle 2)
181,CDU,CONCEPCIÓN DEL URUGUAY
6,LPL,LA PLATA (Avenida 13)
48,CNQ,CORRIENTES
189,REZ,Rezago
65,IRJ,LA RIOJA
9,MGD,MONTE GRANDE
50,GUA,GUALEGUAYCHÚ
58,RIT,RÍO TERCERO
235,YBB,YERBA BUENA
127,LFR,LAFERRERE
69,TAR,TARTAGAL
60,VCP,VILLA CARLOS PAZ
80,RCQ,RECONQUISTA
56,SAB,CÓRDOBA (Av. Sabattini)
225,CCC,Córdoba (Av Colón)
171,PPB,PROVEEDOR PLASTICOS BANCOS
5,FVA,FLORENCIO VARELA
7,LAN,LANÚS
31,REL,TRELEW
233,MRL,MERLO
229,PRC,Rosario( Circunvalación)
107,VDM,VIEDMA
30,RGA,RÍO GRANDE
35,MDQ,MAR DEL PLATA
77,SPE,SAN PEDRO
151,NQN,NEUQUÉN
79,ZAR,ZÁRATE
144,MIC,MICROCENTRO
2,AEP,AEROPARQUE
221,PPD,PROCESAMIENTO PSD
78,RSA,SANTA ROSA
40,AFA,SAN RAFAEL
54,RES,RESISTENCIA
125,BZC,BURZACO
27,GNR,GENERAL ROCA
19,PIL,PILAR
38,UAQ,SAN JUAN
34,AZU,AZUL
230,CTG,CATAMARCA ( Av. Güemes)
109,CAB,CABALLITO
1,PSD,SANTO DOMINGO
227,OBR,Obera
52,PSS,POSADAS (Barrio Itaembé Guazú)
129,TRI,TRIBUNALES
222,INH,IN HOUSE NEWSAN
76,SNS,SAN NICOLÁS
74,LJN,MERCEDES
59,SFR,SAN FRANCISCO
242,GDZ,GODOY CRUZ
112,REN,PROVEEDOR RENDICIONES
68,SDE,SANTIAGO DEL ESTERO
67,SLA,SALTA
160,CAO,CALETA OLIVIA
130,PBCO,PLASTICOS BANCOS
22,SMI,SAN MIGUEL
9999,ISU,Sucursal Internacional
218,PNQ,PLANTA NEUQUÉN
51,PRA,PARANÁ
95,GES,GESTIONES
198,TOM,SANTO TOMÉ
231,PCT,CABA- CIT ( NORLOG)
